#name (cmd = mergePeaks -d 100 /mnt/minami_shared/ATAC-seq_filtered/DifferentialPeaks_siIkBa_30_VS_siIkBa_0.txt /mnt/minami_shared/ATAC-seq_filtered/DifferentialPeaks_siIkBa_75_VS_siIkBa_0.txt /mnt/minami_shared/ATAC-seq_filtered/DifferentialPeaks_siIkBa_120_VS_siIkBa_0.txt)	chr	start	end	strand	Stat	Parent files	Total subpeaks	/mnt/minami_shared/ATAC-seq_filtered/DifferentialPeaks_siIkBa_30_VS_siIkBa_0.txt	/mnt/minami_shared/ATAC-seq_filtered/DifferentialPeaks_siIkBa_75_VS_siIkBa_0.txt	/mnt/minami_shared/ATAC-seq_filtered/DifferentialPeaks_siIkBa_120_VS_siIkBa_0.txt
Merged-chr20-46894665-1	chr20	46894615	46894715	+	0.000000	/mnt/minami_shared/ATAC-seq_filtered/DifferentialPeaks_siIkBa_120_VS_siIkBa_0.txt	1			siIkBa_120_peak_29368
Merged-chr6-2630513-1	chr6	2630463	2630563	+	0.000000	/mnt/minami_shared/ATAC-seq_filtered/DifferentialPeaks_siIkBa_120_VS_siIkBa_0.txt	1			siIkBa_120_peak_41263
Merged-chr8-129627278-1	chr8	129627228	129627328	+	0.000000	/mnt/minami_shared/ATAC-seq_filtered/DifferentialPeaks_siIkBa_75_VS_siIkBa_0.txt	1		siIkBa_75_peak_37793	
Merged-chr8-129708205-1	chr8	129708155	129708255	+	0.000000	/mnt/minami_shared/ATAC-seq_filtered/DifferentialPeaks_siIkBa_75_VS_siIkBa_0.txt	1		siIkBa_75_peak_37797	
Merged-chr3-39107650-1	chr3	39107600	39107700	+	0.000000	/mnt/minami_shared/ATAC-seq_filtered/DifferentialPeaks_siIkBa_75_VS_siIkBa_0.txt	1		siIkBa_75_peak_24189	
Merged-chr16-30762345-1	chr16	30762295	30762395	+	0.000000	/mnt/minami_shared/ATAC-seq_filtered/DifferentialPeaks_siIkBa_75_VS_siIkBa_0.txt	1		siIkBa_75_peak_13776	
Merged-chr11-34654958-1	chr11	34654908	34655008	+	0.000000	/mnt/minami_shared/ATAC-seq_filtered/DifferentialPeaks_siIkBa_75_VS_siIkBa_0.txt	1		siIkBa_75_peak_5788	
Merged-chr15-50831758-1	chr15	50831708	50831808	+	0.000000	/mnt/minami_shared/ATAC-seq_filtered/DifferentialPeaks_siIkBa_75_VS_siIkBa_0.txt	1		siIkBa_75_peak_12194	
Merged-chr7-5240370-1	chr7	5240320	5240420	+	0.000000	/mnt/minami_shared/ATAC-seq_filtered/DifferentialPeaks_siIkBa_75_VS_siIkBa_0.txt	1		siIkBa_75_peak_33719	
Merged-chr20-31699317-1	chr20	31699267	31699367	+	0.000000	/mnt/minami_shared/ATAC-seq_filtered/DifferentialPeaks_siIkBa_75_VS_siIkBa_0.txt	1		siIkBa_75_peak_21748	
Merged-chr2-160582925-1	chr2	160582875	160582975	+	0.000000	/mnt/minami_shared/ATAC-seq_filtered/DifferentialPeaks_siIkBa_75_VS_siIkBa_0.txt	1		siIkBa_75_peak_20143	
Merged-chr20-31879962-1	chr20	31879912	31880012	+	0.000000	/mnt/minami_shared/ATAC-seq_filtered/DifferentialPeaks_siIkBa_75_VS_siIkBa_0.txt	1		siIkBa_75_peak_21758	
Merged-chr7-7629691-1	chr7	7629641	7629741	+	0.000000	/mnt/minami_shared/ATAC-seq_filtered/DifferentialPeaks_siIkBa_75_VS_siIkBa_0.txt	1		siIkBa_75_peak_33778	
Merged-chr20-32052223-1	chr20	32052173	32052273	+	0.000000	/mnt/minami_shared/ATAC-seq_filtered/DifferentialPeaks_siIkBa_75_VS_siIkBa_0.txt	1		siIkBa_75_peak_21764	
Merged-chr1-117929924-1	chr1	117929874	117929974	+	0.000000	/mnt/minami_shared/ATAC-seq_filtered/DifferentialPeaks_siIkBa_75_VS_siIkBa_0.txt	1		siIkBa_75_peak_1733	
Merged-chr6-63677175-1	chr6	63677125	63677225	+	0.000000	/mnt/minami_shared/ATAC-seq_filtered/DifferentialPeaks_siIkBa_75_VS_siIkBa_0.txt	1		siIkBa_75_peak_32186	
Merged-chr20-32483534-1	chr20	32483484	32483584	+	0.000000	/mnt/minami_shared/ATAC-seq_filtered/DifferentialPeaks_siIkBa_75_VS_siIkBa_0.txt	1		siIkBa_75_peak_21772	
Merged-chr7-8285381-1	chr7	8285331	8285431	+	0.000000	/mnt/minami_shared/ATAC-seq_filtered/DifferentialPeaks_siIkBa_75_VS_siIkBa_0.txt	1		siIkBa_75_peak_33793	
Merged-chr5-108084336-1	chr5	108084286	108084386	+	0.000000	/mnt/minami_shared/ATAC-seq_filtered/DifferentialPeaks_siIkBa_75_VS_siIkBa_0.txt	1		siIkBa_75_peak_29817	
Merged-chrX-30302037-1	chrX	30301987	30302087	+	0.000000	/mnt/minami_shared/ATAC-seq_filtered/DifferentialPeaks_siIkBa_75_VS_siIkBa_0.txt	1		siIkBa_75_peak_40117	
Merged-chr18-12288199-1	chr18	12288149	12288249	+	0.000000	/mnt/minami_shared/ATAC-seq_filtered/DifferentialPeaks_siIkBa_75_VS_siIkBa_0.txt	1		siIkBa_75_peak_16207	
Merged-chrX-30972428-1	chrX	30972378	30972478	+	0.000000	/mnt/minami_shared/ATAC-seq_filtered/DifferentialPeaks_siIkBa_75_VS_siIkBa_0.txt	1		siIkBa_75_peak_40128	
Merged-chr5-109455910-1	chr5	109455860	109455960	+	0.000000	/mnt/minami_shared/ATAC-seq_filtered/DifferentialPeaks_siIkBa_75_VS_siIkBa_0.txt	1		siIkBa_75_peak_29836	
Merged-chr18-12934651-1	chr18	12934601	12934701	+	0.000000	/mnt/minami_shared/ATAC-seq_filtered/DifferentialPeaks_siIkBa_75_VS_siIkBa_0.txt	1		siIkBa_75_peak_16219	
Merged-chr13-51859254-1	chr13	51859204	51859304	+	0.000000	/mnt/minami_shared/ATAC-seq_filtered/DifferentialPeaks_siIkBa_75_VS_siIkBa_0.txt	1		siIkBa_75_peak_9819	
Merged-chr4-159175645-1	chr4	159175595	159175695	+	0.000000	/mnt/minami_shared/ATAC-seq_filtered/DifferentialPeaks_siIkBa_75_VS_siIkBa_0.txt	1		siIkBa_75_peak_28247	
Merged-chr19-51712939-1	chr19	51712889	51712989	+	0.000000	/mnt/minami_shared/ATAC-seq_filtered/DifferentialPeaks_siIkBa_75_VS_siIkBa_0.txt	1		siIkBa_75_peak_17836	
Merged-chr5-111278992-1	chr5	111278942	111279042	+	0.000000	/mnt/minami_shared/ATAC-seq_filtered/DifferentialPeaks_siIkBa_75_VS_siIkBa_0.txt	1		siIkBa_75_peak_29856	
Merged-chr4-159296233-1	chr4	159296183	159296283	+	0.000000	/mnt/minami_shared/ATAC-seq_filtered/DifferentialPeaks_siIkBa_75_VS_siIkBa_0.txt	1		siIkBa_75_peak_28250	
Merged-chr5-111857860-1	chr5	111857810	111857910	+	0.000000	/mnt/minami_shared/ATAC-seq_filtered/DifferentialPeaks_siIkBa_75_VS_siIkBa_0.txt	1		siIkBa_75_peak_29867	
Merged-chr18-21704427-1	chr18	21704377	21704477	+	0.000000	/mnt/minami_shared/ATAC-seq_filtered/DifferentialPeaks_siIkBa_75_VS_siIkBa_0.txt	1		siIkBa_75_peak_16247	
Merged-chr5-112420451-1	chr5	112420401	112420501	+	0.000000	/mnt/minami_shared/ATAC-seq_filtered/DifferentialPeaks_siIkBa_75_VS_siIkBa_0.txt	1		siIkBa_75_peak_29877	
Merged-chrX-42195641-1	chrX	42195591	42195691	+	0.000000	/mnt/minami_shared/ATAC-seq_filtered/DifferentialPeaks_siIkBa_75_VS_siIkBa_0.txt	1		siIkBa_75_peak_40193	
Merged-chr12-75131785-1	chr12	75131735	75131835	+	0.000000	/mnt/minami_shared/ATAC-seq_filtered/DifferentialPeaks_siIkBa_75_VS_siIkBa_0.txt	1		siIkBa_75_peak_8274	
Merged-chr12-75851179-1	chr12	75851129	75851229	+	0.000000	/mnt/minami_shared/ATAC-seq_filtered/DifferentialPeaks_siIkBa_75_VS_siIkBa_0.txt	1		siIkBa_75_peak_8290	
Merged-chr8-28748666-1	chr8	28748616	28748716	+	0.000000	/mnt/minami_shared/ATAC-seq_filtered/DifferentialPeaks_siIkBa_75_VS_siIkBa_0.txt	1		siIkBa_75_peak_36206	
Merged-chr3-150503624-1	chr3	150503574	150503674	+	0.000000	/mnt/minami_shared/ATAC-seq_filtered/DifferentialPeaks_siIkBa_75_VS_siIkBa_0.txt	1		siIkBa_75_peak_25801	
Merged-chr8-130808864-1	chr8	130808814	130808914	+	0.000000	/mnt/minami_shared/ATAC-seq_filtered/DifferentialPeaks_siIkBa_75_VS_siIkBa_0.txt	1		siIkBa_75_peak_37821	
Merged-chr8-30157690-1	chr8	30157640	30157740	+	0.000000	/mnt/minami_shared/ATAC-seq_filtered/DifferentialPeaks_siIkBa_75_VS_siIkBa_0.txt	1		siIkBa_75_peak_36229	
Merged-chr3-151085423-1	chr3	151085373	151085473	+	0.000000	/mnt/minami_shared/ATAC-seq_filtered/DifferentialPeaks_siIkBa_75_VS_siIkBa_0.txt	1		siIkBa_75_peak_25816	
Merged-chr3-40580745-1	chr3	40580695	40580795	+	0.000000	/mnt/minami_shared/ATAC-seq_filtered/DifferentialPeaks_siIkBa_75_VS_siIkBa_0.txt	1		siIkBa_75_peak_24210	
Merged-chr3-151305562-1	chr3	151305512	151305612	+	0.000000	/mnt/minami_shared/ATAC-seq_filtered/DifferentialPeaks_siIkBa_75_VS_siIkBa_0.txt	1		siIkBa_75_peak_25824	
Merged-chr8-132192142-1	chr8	132192092	132192192	+	0.000000	/mnt/minami_shared/ATAC-seq_filtered/DifferentialPeaks_siIkBa_75_VS_siIkBa_0.txt	1		siIkBa_75_peak_37841	
Merged-chr8-33513487-1	chr8	33513437	33513537	+	0.000000	/mnt/minami_shared/ATAC-seq_filtered/DifferentialPeaks_siIkBa_75_VS_siIkBa_0.txt	1		siIkBa_75_peak_36257	
Merged-chr8-133234918-1	chr8	133234868	133234968	+	0.000000	/mnt/minami_shared/ATAC-seq_filtered/DifferentialPeaks_siIkBa_75_VS_siIkBa_0.txt	1		siIkBa_75_peak_37860	
Merged-chr3-43155876-1	chr3	43155826	43155926	+	0.000000	/mnt/minami_shared/ATAC-seq_filtered/DifferentialPeaks_siIkBa_75_VS_siIkBa_0.txt	1		siIkBa_75_peak_24244	
Merged-chr10-43044832-1	chr10	43044782	43044882	+	0.000000	/mnt/minami_shared/ATAC-seq_filtered/DifferentialPeaks_siIkBa_75_VS_siIkBa_0.txt	1		siIkBa_75_peak_4215	
Merged-chr16-47779850-1	chr16	47779800	47779900	+	0.000000	/mnt/minami_shared/ATAC-seq_filtered/DifferentialPeaks_siIkBa_75_VS_siIkBa_0.txt	1		siIkBa_75_peak_13834	
Merged-chr15-52054622-1	chr15	52054572	52054672	+	0.000000	/mnt/minami_shared/ATAC-seq_filtered/DifferentialPeaks_siIkBa_75_VS_siIkBa_0.txt	1		siIkBa_75_peak_12232	
Merged-chr8-37400675-1	chr8	37400625	37400725	+	0.000000	/mnt/minami_shared/ATAC-seq_filtered/DifferentialPeaks_siIkBa_75_VS_siIkBa_0.txt	1		siIkBa_75_peak_36273	
Merged-chr16-48734702-1	chr16	48734652	48734752	+	0.000000	/mnt/minami_shared/ATAC-seq_filtered/DifferentialPeaks_siIkBa_75_VS_siIkBa_0.txt	1		siIkBa_75_peak_13845	
Merged-chr3-44795210-1	chr3	44795160	44795260	+	0.000000	/mnt/minami_shared/ATAC-seq_filtered/DifferentialPeaks_siIkBa_75_VS_siIkBa_0.txt	1		siIkBa_75_peak_24268	
Merged-chr3-44870523-1	chr3	44870473	44870573	+	0.000000	/mnt/minami_shared/ATAC-seq_filtered/DifferentialPeaks_siIkBa_75_VS_siIkBa_0.txt	1		siIkBa_75_peak_24270	
Merged-chr11-44066527-1	chr11	44066477	44066577	+	0.000000	/mnt/minami_shared/ATAC-seq_filtered/DifferentialPeaks_siIkBa_75_VS_siIkBa_0.txt	1		siIkBa_75_peak_5868	
Merged-chr3-46495990-1	chr3	46495940	46496040	+	0.000000	/mnt/minami_shared/ATAC-seq_filtered/DifferentialPeaks_siIkBa_75_VS_siIkBa_0.txt	1		siIkBa_75_peak_24295	
Merged-chr10-50361271-1	chr10	50361221	50361321	+	0.000000	/mnt/minami_shared/ATAC-seq_filtered/DifferentialPeaks_siIkBa_75_VS_siIkBa_0.txt	1		siIkBa_75_peak_4293	
Merged-chr20-34216202-1	chr20	34216152	34216252	+	0.000000	/mnt/minami_shared/ATAC-seq_filtered/DifferentialPeaks_siIkBa_75_VS_siIkBa_0.txt	1		siIkBa_75_peak_21800	
Merged-chr7-13104216-1	chr7	13104166	13104266	+	0.000000	/mnt/minami_shared/ATAC-seq_filtered/DifferentialPeaks_siIkBa_75_VS_siIkBa_0.txt	1		siIkBa_75_peak_33839	
Merged-chr20-35584938-1	chr20	35584888	35584988	+	0.000000	/mnt/minami_shared/ATAC-seq_filtered/DifferentialPeaks_siIkBa_75_VS_siIkBa_0.txt	1		siIkBa_75_peak_21823	
Merged-chr1-147172901-1	chr1	147172851	147172951	+	0.000000	/mnt/minami_shared/ATAC-seq_filtered/DifferentialPeaks_siIkBa_75_VS_siIkBa_0.txt	1		siIkBa_75_peak_1804	
Merged-chr20-37096256-1	chr20	37096206	37096306	+	0.000000	/mnt/minami_shared/ATAC-seq_filtered/DifferentialPeaks_siIkBa_75_VS_siIkBa_0.txt	1		siIkBa_75_peak_21847	
Merged-chr6-73388943-1	chr6	73388893	73388993	+	0.000000	/mnt/minami_shared/ATAC-seq_filtered/DifferentialPeaks_siIkBa_75_VS_siIkBa_0.txt	1		siIkBa_75_peak_32263	
Merged-chr1-147600936-1	chr1	147600886	147600986	+	0.000000	/mnt/minami_shared/ATAC-seq_filtered/DifferentialPeaks_siIkBa_75_VS_siIkBa_0.txt	1		siIkBa_75_peak_1820	
Merged-chr1-147757498-1	chr1	147757448	147757548	+	0.000000	/mnt/minami_shared/ATAC-seq_filtered/DifferentialPeaks_siIkBa_75_VS_siIkBa_0.txt	1		siIkBa_75_peak_1829	
Merged-chr1-147841068-1	chr1	147841018	147841118	+	0.000000	/mnt/minami_shared/ATAC-seq_filtered/DifferentialPeaks_siIkBa_75_VS_siIkBa_0.txt	1		siIkBa_75_peak_1830	
Merged-chr7-17496305-1	chr7	17496255	17496355	+	0.000000	/mnt/minami_shared/ATAC-seq_filtered/DifferentialPeaks_siIkBa_75_VS_siIkBa_0.txt	1		siIkBa_75_peak_33888	
Merged-chr20-38748371-1	chr20	38748321	38748421	+	0.000000	/mnt/minami_shared/ATAC-seq_filtered/DifferentialPeaks_siIkBa_75_VS_siIkBa_0.txt	1		siIkBa_75_peak_21879	
Merged-chr20-39081307-1	chr20	39081257	39081357	+	0.000000	/mnt/minami_shared/ATAC-seq_filtered/DifferentialPeaks_siIkBa_75_VS_siIkBa_0.txt	1		siIkBa_75_peak_21885	
Merged-chr1-150006974-1	chr1	150006924	150007024	+	0.000000	/mnt/minami_shared/ATAC-seq_filtered/DifferentialPeaks_siIkBa_75_VS_siIkBa_0.txt	1		siIkBa_75_peak_1852	
Merged-chr2-171346632-1	chr2	171346582	171346682	+	0.000000	/mnt/minami_shared/ATAC-seq_filtered/DifferentialPeaks_siIkBa_75_VS_siIkBa_0.txt	1		siIkBa_75_peak_20289	
Merged-chr4-168816831-1	chr4	168816781	168816881	+	0.000000	/mnt/minami_shared/ATAC-seq_filtered/DifferentialPeaks_siIkBa_75_VS_siIkBa_0.txt	1		siIkBa_75_peak_28326	
Merged-chr4-169620119-1	chr4	169620069	169620169	+	0.000000	/mnt/minami_shared/ATAC-seq_filtered/DifferentialPeaks_siIkBa_75_VS_siIkBa_0.txt	1		siIkBa_75_peak_28341	
Merged-chr4-169635141-1	chr4	169635091	169635191	+	0.000000	/mnt/minami_shared/ATAC-seq_filtered/DifferentialPeaks_siIkBa_75_VS_siIkBa_0.txt	1		siIkBa_75_peak_28343	
Merged-chr19-55654797-1	chr19	55654747	55654847	+	0.000000	/mnt/minami_shared/ATAC-seq_filtered/DifferentialPeaks_siIkBa_75_VS_siIkBa_0.txt	1		siIkBa_75_peak_17934	
Merged-chr4-170051639-1	chr4	170051589	170051689	+	0.000000	/mnt/minami_shared/ATAC-seq_filtered/DifferentialPeaks_siIkBa_75_VS_siIkBa_0.txt	1		siIkBa_75_peak_28354	
Merged-chr19-56333653-1	chr19	56333603	56333703	+	0.000000	/mnt/minami_shared/ATAC-seq_filtered/DifferentialPeaks_siIkBa_75_VS_siIkBa_0.txt	1		siIkBa_75_peak_17946	
Merged-chr13-72221469-1	chr13	72221419	72221519	+	0.000000	/mnt/minami_shared/ATAC-seq_filtered/DifferentialPeaks_siIkBa_75_VS_siIkBa_0.txt	1		siIkBa_75_peak_9935	
Merged-chr18-29712047-1	chr18	29711997	29712097	+	0.000000	/mnt/minami_shared/ATAC-seq_filtered/DifferentialPeaks_siIkBa_75_VS_siIkBa_0.txt	1		siIkBa_75_peak_16342	
Merged-chr4-172809591-1	chr4	172809541	172809641	+	0.000000	/mnt/minami_shared/ATAC-seq_filtered/DifferentialPeaks_siIkBa_75_VS_siIkBa_0.txt	1		siIkBa_75_peak_28374	
Merged-chr18-31711115-1	chr18	31711065	31711165	+	0.000000	/mnt/minami_shared/ATAC-seq_filtered/DifferentialPeaks_siIkBa_75_VS_siIkBa_0.txt	1		siIkBa_75_peak_16361	
Merged-chr18-34225179-1	chr18	34225129	34225229	+	0.000000	/mnt/minami_shared/ATAC-seq_filtered/DifferentialPeaks_siIkBa_75_VS_siIkBa_0.txt	1		siIkBa_75_peak_16392	
Merged-chr8-140042936-1	chr8	140042886	140042986	+	0.000000	/mnt/minami_shared/ATAC-seq_filtered/DifferentialPeaks_siIkBa_75_VS_siIkBa_0.txt	1		siIkBa_75_peak_37949	
Merged-chr8-47513920-1	chr8	47513870	47513970	+	0.000000	/mnt/minami_shared/ATAC-seq_filtered/DifferentialPeaks_siIkBa_75_VS_siIkBa_0.txt	1		siIkBa_75_peak_36344	
Merged-chr15-57306905-1	chr15	57306855	57306955	+	0.000000	/mnt/minami_shared/ATAC-seq_filtered/DifferentialPeaks_siIkBa_75_VS_siIkBa_0.txt	1		siIkBa_75_peak_12317	
Merged-chr10-50789044-1	chr10	50788994	50789094	+	0.000000	/mnt/minami_shared/ATAC-seq_filtered/DifferentialPeaks_siIkBa_75_VS_siIkBa_0.txt	1		siIkBa_75_peak_4301	
Merged-chr15-57591898-1	chr15	57591848	57591948	+	0.000000	/mnt/minami_shared/ATAC-seq_filtered/DifferentialPeaks_siIkBa_75_VS_siIkBa_0.txt	1		siIkBa_75_peak_12320	
Merged-chr3-48952698-1	chr3	48952648	48952748	+	0.000000	/mnt/minami_shared/ATAC-seq_filtered/DifferentialPeaks_siIkBa_75_VS_siIkBa_0.txt	1		siIkBa_75_peak_24344	
Merged-chr16-56789537-1	chr16	56789487	56789587	+	0.000000	/mnt/minami_shared/ATAC-seq_filtered/DifferentialPeaks_siIkBa_75_VS_siIkBa_0.txt	1		siIkBa_75_peak_13935	
Merged-chr8-141146355-1	chr8	141146305	141146405	+	0.000000	/mnt/minami_shared/ATAC-seq_filtered/DifferentialPeaks_siIkBa_75_VS_siIkBa_0.txt	1		siIkBa_75_peak_37979	
Merged-chr3-49461809-1	chr3	49461759	49461859	+	0.000000	/mnt/minami_shared/ATAC-seq_filtered/DifferentialPeaks_siIkBa_75_VS_siIkBa_0.txt	1		siIkBa_75_peak_24355	
Merged-chr16-57816567-1	chr16	57816517	57816617	+	0.000000	/mnt/minami_shared/ATAC-seq_filtered/DifferentialPeaks_siIkBa_75_VS_siIkBa_0.txt	1		siIkBa_75_peak_13957	
Merged-chr8-142018393-1	chr8	142018343	142018443	+	0.000000	/mnt/minami_shared/ATAC-seq_filtered/DifferentialPeaks_siIkBa_75_VS_siIkBa_0.txt	1		siIkBa_75_peak_37998	
Merged-chr8-142114883-1	chr8	142114833	142114933	+	0.000000	/mnt/minami_shared/ATAC-seq_filtered/DifferentialPeaks_siIkBa_75_VS_siIkBa_0.txt	1		siIkBa_75_peak_37999	
Merged-chr10-55287570-1	chr10	55287520	55287620	+	0.000000	/mnt/minami_shared/ATAC-seq_filtered/DifferentialPeaks_siIkBa_75_VS_siIkBa_0.txt	1		siIkBa_75_peak_4345	
Merged-chr15-60526455-1	chr15	60526405	60526505	+	0.000000	/mnt/minami_shared/ATAC-seq_filtered/DifferentialPeaks_siIkBa_75_VS_siIkBa_0.txt	1		siIkBa_75_peak_12371	
Merged-chr11-57799000-1	chr11	57798950	57799050	+	0.000000	/mnt/minami_shared/ATAC-seq_filtered/DifferentialPeaks_siIkBa_75_VS_siIkBa_0.txt	1		siIkBa_75_peak_5982	
Merged-chr11-57799308-1	chr11	57799258	57799358	+	0.000000	/mnt/minami_shared/ATAC-seq_filtered/DifferentialPeaks_siIkBa_75_VS_siIkBa_0.txt	1		siIkBa_75_peak_5983	
Merged-chr7-20084016-1	chr7	20083966	20084066	+	0.000000	/mnt/minami_shared/ATAC-seq_filtered/DifferentialPeaks_siIkBa_75_VS_siIkBa_0.txt	1		siIkBa_75_peak_33913	
Merged-chr7-20745039-1	chr7	20744989	20745089	+	0.000000	/mnt/minami_shared/ATAC-seq_filtered/DifferentialPeaks_siIkBa_75_VS_siIkBa_0.txt	1		siIkBa_75_peak_33925	
Merged-chr2-172253378-1	chr2	172253328	172253428	+	0.000000	/mnt/minami_shared/ATAC-seq_filtered/DifferentialPeaks_siIkBa_75_VS_siIkBa_0.txt	1		siIkBa_75_peak_20313	
Merged-chr7-21551295-1	chr7	21551245	21551345	+	0.000000	/mnt/minami_shared/ATAC-seq_filtered/DifferentialPeaks_siIkBa_75_VS_siIkBa_0.txt	1		siIkBa_75_peak_33942	
Merged-chr6-80679950-1	chr6	80679900	80680000	+	0.000000	/mnt/minami_shared/ATAC-seq_filtered/DifferentialPeaks_siIkBa_75_VS_siIkBa_0.txt	1		siIkBa_75_peak_32351	
Merged-chr20-41664729-1	chr20	41664679	41664779	+	0.000000	/mnt/minami_shared/ATAC-seq_filtered/DifferentialPeaks_siIkBa_75_VS_siIkBa_0.txt	1		siIkBa_75_peak_21949	
Merged-chr20-41692680-1	chr20	41692630	41692730	+	0.000000	/mnt/minami_shared/ATAC-seq_filtered/DifferentialPeaks_siIkBa_75_VS_siIkBa_0.txt	1		siIkBa_75_peak_21950	
Merged-chr20-41769722-1	chr20	41769672	41769772	+	0.000000	/mnt/minami_shared/ATAC-seq_filtered/DifferentialPeaks_siIkBa_75_VS_siIkBa_0.txt	1		siIkBa_75_peak_21953	
Merged-chr20-42028086-1	chr20	42028036	42028136	+	0.000000	/mnt/minami_shared/ATAC-seq_filtered/DifferentialPeaks_siIkBa_75_VS_siIkBa_0.txt	1		siIkBa_75_peak_21956	
Merged-chr7-24379386-1	chr7	24379336	24379436	+	0.000000	/mnt/minami_shared/ATAC-seq_filtered/DifferentialPeaks_siIkBa_75_VS_siIkBa_0.txt	1		siIkBa_75_peak_33988	
Merged-chr2-175309968-1	chr2	175309918	175310018	+	0.000000	/mnt/minami_shared/ATAC-seq_filtered/DifferentialPeaks_siIkBa_75_VS_siIkBa_0.txt	1		siIkBa_75_peak_20367	
Merged-chr20-43457354-1	chr20	43457304	43457404	+	0.000000	/mnt/minami_shared/ATAC-seq_filtered/DifferentialPeaks_siIkBa_75_VS_siIkBa_0.txt	1		siIkBa_75_peak_21971	
Merged-chr20-43767817-1	chr20	43767767	43767867	+	0.000000	/mnt/minami_shared/ATAC-seq_filtered/DifferentialPeaks_siIkBa_75_VS_siIkBa_0.txt	1		siIkBa_75_peak_21981	
Merged-chr20-44116689-1	chr20	44116639	44116739	+	0.000000	/mnt/minami_shared/ATAC-seq_filtered/DifferentialPeaks_siIkBa_75_VS_siIkBa_0.txt	1		siIkBa_75_peak_21991	
Merged-chr20-44476306-1	chr20	44476256	44476356	+	0.000000	/mnt/minami_shared/ATAC-seq_filtered/DifferentialPeaks_siIkBa_75_VS_siIkBa_0.txt	1		siIkBa_75_peak_21999	
Merged-chr1-153432161-1	chr1	153432111	153432211	+	0.000000	/mnt/minami_shared/ATAC-seq_filtered/DifferentialPeaks_siIkBa_75_VS_siIkBa_0.txt	1		siIkBa_75_peak_1978	
Merged-chr4-177033278-1	chr4	177033228	177033328	+	0.000000	/mnt/minami_shared/ATAC-seq_filtered/DifferentialPeaks_siIkBa_75_VS_siIkBa_0.txt	1		siIkBa_75_peak_28416	
Merged-chr4-184014545-1	chr4	184014495	184014595	+	0.000000	/mnt/minami_shared/ATAC-seq_filtered/DifferentialPeaks_siIkBa_75_VS_siIkBa_0.txt	1		siIkBa_75_peak_28465	
Merged-chr18-43564021-1	chr18	43563971	43564071	+	0.000000	/mnt/minami_shared/ATAC-seq_filtered/DifferentialPeaks_siIkBa_75_VS_siIkBa_0.txt	1		siIkBa_75_peak_16455	
Merged-chr18-45839633-1	chr18	45839583	45839683	+	0.000000	/mnt/minami_shared/ATAC-seq_filtered/DifferentialPeaks_siIkBa_75_VS_siIkBa_0.txt	1		siIkBa_75_peak_16473	
Merged-chr12-90091352-1	chr12	90091302	90091402	+	0.000000	/mnt/minami_shared/ATAC-seq_filtered/DifferentialPeaks_siIkBa_75_VS_siIkBa_0.txt	1		siIkBa_75_peak_8474	
Merged-chr8-53843076-1	chr8	53843026	53843126	+	0.000000	/mnt/minami_shared/ATAC-seq_filtered/DifferentialPeaks_siIkBa_75_VS_siIkBa_0.txt	1		siIkBa_75_peak_36423	
Merged-chr15-63473520-1	chr15	63473470	63473570	+	0.000000	/mnt/minami_shared/ATAC-seq_filtered/DifferentialPeaks_siIkBa_75_VS_siIkBa_0.txt	1		siIkBa_75_peak_12405	
Merged-chr8-58196075-1	chr8	58196025	58196125	+	0.000000	/mnt/minami_shared/ATAC-seq_filtered/DifferentialPeaks_siIkBa_75_VS_siIkBa_0.txt	1		siIkBa_75_peak_36485	
Merged-chr15-65562157-1	chr15	65562107	65562207	+	0.000000	/mnt/minami_shared/ATAC-seq_filtered/DifferentialPeaks_siIkBa_75_VS_siIkBa_0.txt	1		siIkBa_75_peak_12452	
Merged-chr3-57060633-1	chr3	57060583	57060683	+	0.000000	/mnt/minami_shared/ATAC-seq_filtered/DifferentialPeaks_siIkBa_75_VS_siIkBa_0.txt	1		siIkBa_75_peak_24481	
Merged-chr3-57298108-1	chr3	57298058	57298158	+	0.000000	/mnt/minami_shared/ATAC-seq_filtered/DifferentialPeaks_siIkBa_75_VS_siIkBa_0.txt	1		siIkBa_75_peak_24486	
Merged-chr3-57693000-1	chr3	57692950	57693050	+	0.000000	/mnt/minami_shared/ATAC-seq_filtered/DifferentialPeaks_siIkBa_75_VS_siIkBa_0.txt	1		siIkBa_75_peak_24492	
Merged-chr15-66765885-1	chr15	66765835	66765935	+	0.000000	/mnt/minami_shared/ATAC-seq_filtered/DifferentialPeaks_siIkBa_75_VS_siIkBa_0.txt	1		siIkBa_75_peak_12481	
Merged-chr2-178479171-1	chr2	178479121	178479221	+	0.000000	/mnt/minami_shared/ATAC-seq_filtered/DifferentialPeaks_siIkBa_75_VS_siIkBa_0.txt	1		siIkBa_75_peak_20413	
Merged-chrX-68490871-1	chrX	68490821	68490921	+	0.000000	/mnt/minami_shared/ATAC-seq_filtered/DifferentialPeaks_siIkBa_75_VS_siIkBa_0.txt	1		siIkBa_75_peak_40413	
Merged-chr18-47979848-1	chr18	47979798	47979898	+	0.000000	/mnt/minami_shared/ATAC-seq_filtered/DifferentialPeaks_siIkBa_75_VS_siIkBa_0.txt	1		siIkBa_75_peak_16507	
